jxi_ticker,yfinance_ticker,company,scope1_emissions_tco2,reporting_year
NEE,NEE,NextEra Energy,42002456.0,2022
IBE,IBE.MC,Iberdrola,11270639.0,2022
DUK,DUK,Duke Energy,78800000.0,2022
CEG,CEG,Constellation Energy,9108347.0,2022
ENEL,ENEL.MI,Enel,53066418.0,2022
NG.,NG.L,National Grid,5270747.0,2022
AEP,AEP,American Electric Power,51100000.0,2022
ENGI,ENGI.PA,Engie,29832102.0,2022
SRE,SRE,Sempra,7164579.0,2022
D,D,Dominion Energy,33260819.0,2022
ETR,ETR,Entergy,39551503.0,2022
VST,VST,Vistra,94785101.0,2022
EOAN,EOAN.DE,E.ON,2881548.82,2022
EXC,EXC,Exelon,452011.0,2022
SSE,SSE.L,SSE,5746504.0,2022
PCG,PCG,PG&E,3353070.0,2022
WEC,WEC,WEC Energy,18871000.0,2022
NRG,NRG,NRG Energy,37417583.0,2022
PPL,PPL,PPL Corp,27101051.0,2022
VIE,VIE.PA,Veolia,28615000.0,2022
FE,FE,FirstEnergy,16535625.0,2022
ES,ES,Eversource Energy,171093.0,2022
AWK,AWK,American Water Works,69721.0,2022
NI,NI,NiSource,6350413.0,2022
EVRG,EVRG,Evergy,27594888.0,2022
LNT,LNT,Alliant Energy,13233398.0,2022
TRN,TRN.MI,Terna,76505.6,2022
EDP,EDP.LS,EDP,9405035.18,2022
9503,9503.T,Kansai Electric Power,23777936.074,2022
SRG,SRG.MI,Snam,1484996.0,2022
EMA,EMA.TO,Emera,14923559.0,2022
9532,9532.T,Osaka Gas,4904166.0,2022
9531,9531.T,Tokyo Gas,3154000.0,2022
ELE,ELE.MC,Endesa,13608478.0,2022
9502,9502.T,Chubu Electric Power,102258.0,2022
UU.,UU.L,United Utilities,131735.0,2022
PNW,PNW,Pinnacle West,12665061.08,2022
AXIA3,ELET3.SA,Eletrobras,3958097.0,2022
CNA,CNA.L,Centrica,1995085.0,2022
ORSTED,ORSTED.CO,Orsted,2510000.0,2022
SVT,SVT.L,Severn Trent,417330.0,2022
NTGY,NTGY.MC,Naturgy,14741483.0,2022
AES,AES,AES Corp,40011490.0,2022
VER,VER.VI,Verbund,584307.0,2022
RED,RED.MC,Redeia,20542.0,2022
ENG,ENG.MC,Enagas,385410.39,2022
